Body,mass,x,y,vx,vy
1,123.000000,62.200000,59.850000,64.000000,57.000000
2,163.000000,91.000000,102.050000,80.000000,61.000000
3,237.000000,43.500000,20.850000,70.000000,57.000000
4,159.000000,56.750000,67.900000,75.000000,98.000000
5,216.000000,16.700000,39.700000,54.000000,54.000000
6,164.000000,16.650000,62.600000,93.000000,72.000000
7,54.000000,54.750000,100.300000,55.000000,66.000000
8,216.000000,60.600000,31.750000,92.000000,55.000000
9,86.000000,64.600000,47.800000,52.000000,76.000000
10,182.000000,69.250000,89.400000,85.000000,88.000000
11,142.000000,25.000000,58.850000,60.000000,57.000000
12,228.000000,74.900000,77.600000,98.000000,92.000000
13,115.000000,98.250000,102.450000,65.000000,69.000000
14,202.000000,100.700000,89.900000,94.000000,58.000000
15,238.000000,91.600000,46.550000,72.000000,51.000000
16,240.000000,60.750000,37.850000,75.000000,57.000000
17,144.000000,83.850000,3.350000,57.000000,67.000000
18,94.000000,36.600000,50.300000,92.000000,66.000000
19,180.000000,43.600000,34.900000,52.000000,78.000000
20,58.000000,43.550000,32.700000,91.000000,54.000000
21,233.000000,91.850000,47.550000,97.000000,71.000000
22,210.000000,38.550000,17.450000,71.000000,69.000000
23,110.000000,25.150000,68.600000,83.000000,92.000000
24,230.000000,34.700000,41.150000,54.000000,63.000000
25,124.000000,90.650000,98.350000,73.000000,67.000000
26,189.000000,60.050000,31.000000,81.000000,80.000000
27,97.000000,32.300000,17.200000,86.000000,84.000000
28,125.000000,53.300000,49.000000,66.000000,60.000000
29,122.000000,35.250000,27.650000,65.000000,93.000000
30,167.000000,59.450000,30.950000,89.000000,99.000000
1,123.000000,65.400000,62.700000,64.000000,57.000000
2,163.000000,95.000000,105.100000,80.000000,61.000000
3,237.000000,47.000000,23.700000,70.000000,57.000000
4,159.000000,60.500000,72.800000,75.000000,98.000000
5,216.000000,19.400000,42.400000,54.000000,54.000000
6,164.000000,21.300000,66.200000,93.000000,72.000000
7,54.000000,57.500000,103.600000,55.000000,66.000000
8,216.000000,65.200000,34.500000,92.000000,55.000000
9,86.000000,67.200000,51.600000,52.000000,76.000000
10,182.000000,73.500000,93.800000,85.000000,88.000000
11,142.000000,28.000000,61.700000,60.000000,57.000000
12,228.000000,79.800000,82.200000,98.000000,92.000000
13,115.000000,101.500000,105.900000,65.000000,69.000000
14,202.000000,105.400000,92.800000,94.000000,58.000000
15,238.000000,95.200000,49.100000,72.000000,51.000000
16,240.000000,64.500000,40.700000,75.000000,57.000000
17,144.000000,86.700000,6.700000,57.000000,67.000000
18,94.000000,41.200000,53.600000,92.000000,66.000000
19,180.000000,46.200000,38.800000,52.000000,78.000000
20,58.000000,48.100000,35.400000,91.000000,54.000000
21,233.000000,96.700000,51.100000,97.000000,71.000000
22,210.000000,42.100000,20.900000,71.000000,69.000000
23,110.000000,29.300000,73.200000,83.000000,92.000000
24,230.000000,37.400000,44.300000,54.000000,63.000000
25,124.000000,94.300000,101.700000,73.000000,67.000000
26,189.000000,64.100000,35.000000,81.000000,80.000000
27,97.000000,36.600000,21.400000,86.000000,84.000000
28,125.000000,56.600000,52.000000,66.000000,60.000000
29,122.000000,38.500000,32.300000,65.000000,93.000000
30,167.000000,63.900000,35.900000,89.000000,99.000000
1,123.000000,68.600000,65.550000,64.000000,57.000000
2,163.000000,99.000000,108.150000,80.000000,61.000000
3,237.000000,50.500000,26.550000,70.000000,57.000000
4,159.000000,64.250000,77.700000,75.000000,98.000000
5,216.000000,22.100000,45.100000,54.000000,54.000000
6,164.000000,25.950000,69.800000,93.000000,72.000000
7,54.000000,60.250000,106.900000,55.000000,66.000000
8,216.000000,69.800000,37.250000,92.000000,55.000000
9,86.000000,69.800000,55.400000,52.000000,76.000000
10,182.000000,77.750000,98.200000,85.000000,88.000000
11,142.000000,31.000000,64.550000,60.000000,57.000000
12,228.000000,84.700000,86.800000,98.000000,92.000000
13,115.000000,104.750000,109.350000,65.000000,69.000000
14,202.000000,110.100000,95.700000,94.000000,58.000000
15,238.000000,98.800000,51.650000,72.000000,51.000000
16,240.000000,68.250000,43.550000,75.000000,57.000000
17,144.000000,89.550000,10.050000,57.000000,67.000000
18,94.000000,45.800000,56.900000,92.000000,66.000000
19,180.000000,48.800000,42.700000,52.000000,78.000000
20,58.000000,52.650000,38.100000,91.000000,54.000000
21,233.000000,101.550000,54.650000,97.000000,71.000000
22,210.000000,45.650000,24.350000,71.000000,69.000000
23,110.000000,33.450000,77.800000,83.000000,92.000000
24,230.000000,40.100000,47.450000,54.000000,63.000000
25,124.000000,97.950000,105.050000,73.000000,67.000000
26,189.000000,68.150000,39.000000,81.000000,80.000000
27,97.000000,40.900000,25.600000,86.000000,84.000000
28,125.000000,59.900000,55.000000,66.000000,60.000000
29,122.000000,41.750000,36.950000,65.000000,93.000000
30,167.000000,68.350000,40.850000,89.000000,99.000000
1,123.000000,71.800000,68.400000,64.000000,57.000000
2,163.000000,103.000000,111.200000,80.000000,61.000000
3,237.000000,54.000000,29.400000,70.000000,57.000000
4,159.000000,68.000000,82.600000,75.000000,98.000000
5,216.000000,24.800000,47.800000,54.000000,54.000000
6,164.000000,30.600000,73.400000,93.000000,72.000000
7,54.000000,63.000000,110.200000,55.000000,66.000000
8,216.000000,74.400000,40.000000,92.000000,55.000000
9,86.000000,72.400000,59.200000,52.000000,76.000000
10,182.000000,82.000000,102.600000,85.000000,88.000000
11,142.000000,34.000000,67.400000,60.000000,57.000000
12,228.000000,89.600000,91.400000,98.000000,92.000000
13,115.000000,108.000000,112.800000,65.000000,69.000000
14,202.000000,114.800000,98.600000,94.000000,58.000000
15,238.000000,102.400000,54.200000,72.000000,51.000000
16,240.000000,72.000000,46.400000,75.000000,57.000000
17,144.000000,92.400000,13.400000,57.000000,67.000000
18,94.000000,50.400000,60.200000,92.000000,66.000000
19,180.000000,51.400000,46.600000,52.000000,78.000000
20,58.000000,57.200000,40.800000,91.000000,54.000000
21,233.000000,106.400000,58.200000,97.000000,71.000000
22,210.000000,49.200000,27.800000,71.000000,69.000000
23,110.000000,37.600000,82.400000,83.000000,92.000000
24,230.000000,42.800000,50.600000,54.000000,63.000000
25,124.000000,101.600000,108.400000,73.000000,67.000000
26,189.000000,72.200000,43.000000,81.000000,80.000000
27,97.000000,45.200000,29.800000,86.000000,84.000000
28,125.000000,63.200000,58.000000,66.000000,60.000000
29,122.000000,45.000000,41.600000,65.000000,93.000000
30,167.000000,72.800000,45.800000,89.000000,99.000000
1,123.000000,75.000000,71.250000,64.000000,57.000000
2,163.000000,107.000000,114.250000,80.000000,61.000000
3,237.000000,57.500000,32.250000,70.000000,57.000000
4,159.000000,71.750000,87.500000,75.000000,98.000000
5,216.000000,27.500000,50.500000,54.000000,54.000000
