Body,mass,x,y,vx,vy
     1,216.000000,101.050000,16.850000,81.000000,77.000000
     2,55.000000,-21.850000,-59.950000,-77.000000,81.000000
     3,249.000000,-69.350000,-70.850000,-87.000000,-37.000000
     4,184.000000,-73.100000,12.200000,78.000000,-16.000000
     5,71.000000,52.350000,30.800000,-53.000000,76.000000
     6,127.000000,-54.000000,-62.800000,-80.000000,-36.000000
     7,212.000000,-55.950000,96.550000,-59.000000,71.000000
     8,110.000000,-42.000000,-49.100000,-80.000000,58.000000
     9,80.000000,48.850000,73.050000,57.000000,-39.000000
    10,55.000000,-20.200000,-58.500000,76.000000,-50.000000
    11,56.000000,6.450000,-0.250000,-51.000000,-5.000000
    12,201.000000,41.900000,0.900000,-82.000000,78.000000
    13,58.000000,81.300000,70.600000,-54.000000,-48.000000
    14,242.000000,73.050000,86.600000,-59.000000,-48.000000
    15,216.000000,34.300000,0.550000,-54.000000,-29.000000
    16,221.000000,-1.250000,2.200000,95.000000,64.000000
    17,105.000000,-25.050000,-84.400000,59.000000,92.000000
    18,135.000000,4.200000,80.700000,84.000000,54.000000
    19,141.000000,48.250000,-71.500000,-55.000000,70.000000
    20,209.000000,9.650000,60.450000,93.000000,69.000000
     1,216.000000,105.100000,20.700000,81.000000,77.000000
     2,55.000000,-25.700000,-55.900000,-77.000000,81.000000
     3,249.000000,-73.700000,-72.700000,-87.000000,-37.000000
     4,184.000000,-69.200000,11.400000,78.000000,-16.000000
     5,71.000000,49.700000,34.600000,-53.000000,76.000000
     6,127.000000,-58.000000,-64.600000,-80.000000,-36.000000
     7,212.000000,-58.900000,100.100000,-59.000000,71.000000
     8,110.000000,-46.000000,-46.200000,-80.000000,58.000000
     9,80.000000,51.700000,71.100000,57.000000,-39.000000
    10,55.000000,-16.400000,-61.000000,76.000000,-50.000000
    11,56.000000,3.900000,-0.500000,-51.000000,-5.000000
    12,201.000000,37.800000,4.800000,-82.000000,78.000000
    13,58.000000,78.600000,68.200000,-54.000000,-48.000000
    14,242.000000,70.100000,84.200000,-59.000000,-48.000000
    15,216.000000,31.600000,-0.900000,-54.000000,-29.000000
    16,221.000000,3.500000,5.400000,95.000000,64.000000
    17,105.000000,-22.100000,-79.800000,59.000000,92.000000
    18,135.000000,8.400000,83.400000,84.000000,54.000000
    19,141.000000,45.500000,-68.000000,-55.000000,70.000000
    20,209.000000,14.300000,63.900000,93.000000,69.000000
     1,216.000000,109.150000,24.550000,81.000000,77.000000
     2,55.000000,-29.550000,-51.850000,-77.000000,81.000000
     3,249.000000,-78.050000,-74.550000,-87.000000,-37.000000
     4,184.000000,-65.300000,10.600000,78.000000,-16.000000
     5,71.000000,47.050000,38.400000,-53.000000,76.000000
     6,127.000000,-62.000000,-66.400000,-80.000000,-36.000000
     7,212.000000,-61.850000,103.650000,-59.000000,71.000000
     8,110.000000,-50.000000,-43.300000,-80.000000,58.000000
     9,80.000000,54.550000,69.150000,57.000000,-39.000000
    10,55.000000,-12.600000,-63.500000,76.000000,-50.000000
    11,56.000000,1.350000,-0.750000,-51.000000,-5.000000
    12,201.000000,33.700000,8.700000,-82.000000,78.000000
    13,58.000000,75.900000,65.800000,-54.000000,-48.000000
    14,242.000000,67.150000,81.800000,-59.000000,-48.000000
    15,216.000000,28.900000,-2.350000,-54.000000,-29.000000
    16,221.000000,8.250000,8.600000,95.000000,64.000000
    17,105.000000,-19.150000,-75.200000,59.000000,92.000000
    18,135.000000,12.600000,86.100000,84.000000,54.000000
    19,141.000000,42.750000,-64.500000,-55.000000,70.000000
    20,209.000000,18.950000,67.350000,93.000000,69.000000
     1,216.000000,113.200000,28.400000,81.000000,77.000000
     2,55.000000,-33.400000,-47.800000,-77.000000,81.000000
     3,249.000000,-82.400000,-76.400000,-87.000000,-37.000000
     4,184.000000,-61.400000,9.800000,78.000000,-16.000000
     5,71.000000,44.400000,42.200000,-53.000000,76.000000
     6,127.000000,-66.000000,-68.200000,-80.000000,-36.000000
     7,212.000000,-64.800000,107.200000,-59.000000,71.000000
     8,110.000000,-54.000000,-40.400000,-80.000000,58.000000
     9,80.000000,57.400000,67.200000,57.000000,-39.000000
    10,55.000000,-8.800000,-66.000000,76.000000,-50.000000
    11,56.000000,-1.200000,-1.000000,-51.000000,-5.000000
    12,201.000000,29.600000,12.600000,-82.000000,78.000000
    13,58.000000,73.200000,63.400000,-54.000000,-48.000000
    14,242.000000,64.200000,79.400000,-59.000000,-48.000000
    15,216.000000,26.200000,-3.800000,-54.000000,-29.000000
    16,221.000000,13.000000,11.800000,95.000000,64.000000
    17,105.000000,-16.200000,-70.600000,59.000000,92.000000
    18,135.000000,16.800000,88.800000,84.000000,54.000000
    19,141.000000,40.000000,-61.000000,-55.000000,70.000000
    20,209.000000,23.600000,70.800000,93.000000,69.000000
     1,216.000000,117.250000,32.250000,81.000000,77.000000
     2,55.000000,-37.250000,-43.750000,-77.000000,81.000000
     3,249.000000,-86.750000,-78.250000,-87.000000,-37.000000
     4,184.000000,-57.500000,9.000000,78.000000,-16.000000
     5,71.000000,41.750000,46.000000,-53.000000,76.000000
     6,127.000000,-70.000000,-70.000000,-80.000000,-36.000000
     7,212.000000,-67.750000,110.750000,-59.000000,71.000000
     8,110.000000,-58.000000,-37.500000,-80.000000,58.000000
     9,80.000000,60.250000,65.250000,57.000000,-39.000000
    10,55.000000,-5.000000,-68.500000,76.000000,-50.000000
    11,56.000000,-3.750000,-1.250000,-51.000000,-5.000000
    12,201.000000,25.500000,16.500000,-82.000000,78.000000
    13,58.000000,70.500000,61.000000,-54.000000,-48.000000
