n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading
120,1,21,0.526916049776,True
120,2,21,0.454431022917,True
120,4,21,0.465986547016,True
120,6,21,0.593191203617,True
120,12,21,1.016658794312,True
120,24,21,1.896534908386,True
120,30,21,2.289447829837,True
120,40,21,3.001967123577,True
120,60,21,4.495042119707,True
120,120,21,9.081855081377,True
240,1,21,1.497444606963,True
240,2,21,1.074455431529,True
240,4,21,0.908223924183,True
240,6,21,1.010113330114,True
240,12,21,1.351269778751,True
240,24,21,2.138176282247,True
240,30,21,2.588074366252,True
240,40,21,3.292370830263,True
240,60,21,4.826343967801,True
240,120,21,9.449035099574,True
360,1,21,2.867455527896,True
360,2,21,1.930916388830,True
360,4,21,1.461089792706,True
360,6,21,1.447587807973,True
360,12,21,1.755203360603,True
360,24,21,2.442367882956,True
360,30,21,2.838251999446,True
360,40,21,3.511401482991,True
360,60,21,4.989463681266,True
360,120,21,9.574488832837,True
480,1,21,4.882682346162,True
480,2,21,3.014841897147,True
480,4,21,2.161920967556,True
480,6,21,1.980147713707,True
480,12,21,2.235579615548,True
480,24,21,2.881688606171,True
480,30,21,3.282608713423,True
480,40,21,3.926333722614,True
480,60,21,5.266214847565,True
480,120,21,9.833176942099,True
600,1,21,7.504984310695,True
600,2,21,4.278047777358,True
600,4,21,2.972072658085,True
600,6,21,2.585211549486,True
600,12,21,2.781040282477,True
600,24,21,3.453066428502,True
600,30,21,3.761127029146,True
600,40,21,4.403482153302,True
600,60,21,5.771695534388,True
600,120,21,10.128805081050,True
720,1,21,10.653068406241,True
720,2,21,5.988738480068,True
720,4,21,4.003718251274,True
720,6,21,3.381843816666,True
720,12,21,3.469349554607,True
720,24,21,4.209355308896,True
720,30,21,4.481182302747,True
720,40,21,5.046671549479,True
720,60,21,6.351935920261,True
720,120,21,10.656558740707,True
840,1,21,14.902065220333,True
840,2,21,8.577926715215,True
840,4,21,5.297022705986,True
840,6,21,4.362631968090,True
840,12,21,4.258566617966,True
840,24,21,5.164464519137,True
840,30,21,5.389112404415,True
840,40,21,5.857363916579,True
840,60,21,7.180896021071,True
840,120,21,11.261431024188,True
960,1,15,20.543235206604,True
960,2,21,11.658066329502,True
960,4,21,6.985856408165,True
960,6,21,5.633552994047,True
960,12,21,5.179667336600,True
960,24,21,6.142457700911,True
960,30,21,6.485519341060,True
960,40,21,6.974716288703,True
960,60,21,8.096821205957,True
960,120,21,11.885097231184,True
1080,1,12,27.154531300068,True
1080,2,20,15.279921615124,True
1080,4,21,8.969463620867,True
1080,6,21,7.037925152552,True
1080,12,21,6.193784077962,True
1080,24,21,7.277199938184,True
1080,30,21,7.634803022657,True
1080,40,21,8.095880928494,True
1080,60,21,9.132947899046,True
