n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading,speed_up,efficiency
120,1,21,0.526916049776,True,1.0,1.0
120,2,21,0.454431022917,True,1.159507214964589,0.5797536074822945
120,4,21,0.465986547016,True,1.1307537806620584,0.2826884451655146
120,6,21,0.593191203617,True,0.8882735390597748,0.1480455898432958
120,12,21,1.016658794312,True,0.5182820949604613,0.04319017458003844
120,24,21,1.896534908386,True,0.2778309259935633,0.011576288583065137
120,30,21,2.289447829837,True,0.2301498391485577,0.007671661304951923
120,40,21,3.001967123577,True,0.17552359106056836,0.004388089776514209
120,60,21,4.495042119707,True,0.11722160454646552,0.001953693409107759
120,120,21,9.081855081377,True,0.058018548529416576,0.0004834879044118048
240,1,21,1.497444606963,True,1.0,1.0
240,2,21,1.074455431529,True,1.3936777301521635,0.6968388650760817
240,4,21,0.908223924183,True,1.6487614640960246,0.41219036602400616
240,6,21,1.010113330114,True,1.48245207970278,0.24707534661713002
240,12,21,1.351269778751,True,1.1081759027772469,0.0923479918981039
240,24,21,2.138176282247,True,0.7003373011832973,0.029180720882637387
240,30,21,2.588074366252,True,0.578594118658024,0.019286470621934133
240,40,21,3.292370830263,True,0.4548225835312062,0.011370564588280155
240,60,21,4.826343967801,True,0.3102647919321988,0.005171079865536647
240,120,21,9.449035099574,True,0.15847592809032013,0.0013206327340860012
360,1,21,2.867455527896,True,1.0,1.0
360,2,21,1.93091638883,True,1.4850231447015045,0.7425115723507523
360,4,21,1.461089792706,True,1.9625457259442973,0.49063643148607433
360,6,21,1.447587807973,True,1.9808508417262678,0.33014180695437795
360,12,21,1.755203360603,True,1.6336884900396305,0.13614070750330254
360,24,21,2.442367882956,True,1.174047344753615,0.04891863936473396
360,30,21,2.838251999446,True,1.0102892655252953,0.033676308850843176
360,40,21,3.511401482991,True,0.8166128372918243,0.02041532093229561
360,60,21,4.989463681266,True,0.5747021545947855,0.009578369243246425
360,120,21,9.574488832837,True,0.2994891505916927,0.002495742921597439
480,1,21,4.882682346162,True,1.0,1.0
480,2,21,3.014841897147,True,1.619548391835264,0.809774195917632
480,4,21,2.161920967556,True,2.25849252559947,0.5646231313998675
480,6,21,1.980147713707,True,2.4658172278578228,0.4109695379763038
480,12,21,2.235579615548,True,2.184078935146814,0.18200657792890118
480,24,21,2.881688606171,True,1.6943823616840372,0.07059926507016821
480,30,21,3.282608713423,True,1.4874396470697522,0.04958132156899174
480,40,21,3.926333722614,True,1.2435729337116308,0.03108932334279077
480,60,21,5.266214847565,True,0.9271711252759963,0.015452852087933271
480,120,21,9.833176942099,True,0.49655186466315515,0.004137932205526293
600,1,21,7.504984310695,True,1.0,1.0
600,2,21,4.278047777358,True,1.7543011909347734,0.8771505954673867
600,4,21,2.972072658085,True,2.525168518434101,0.6312921296085252
600,6,21,2.585211549486,True,2.903044554395235,0.4838407590658725
600,12,21,2.781040282477,True,2.6986248124426684,0.22488540103688903
600,24,21,3.453066428502,True,2.173425987043867,0.09055941612682779
600,30,21,3.761127029146,True,1.995408358328987,0.06651361194429957
600,40,21,4.403482153302,True,1.7043294486994354,0.042608236217485884
600,60,21,5.771695534388,True,1.3003084216726253,0.021671807027877087
600,120,21,10.12880508105,True,0.7409545598558401,0.0061746213321320015
720,1,21,10.653068406241,True,1.0,1.0
720,2,21,5.988738480068,True,1.7788501604631828,0.8894250802315914
720,4,21,4.003718251274,True,2.6607937266442634,0.6651984316610658
720,6,21,3.381843816666,True,3.1500769946092175,0.5250128324348696
720,12,21,3.469349554607,True,3.070624115144187,0.25588534292868226
720,24,21,4.209355308896,True,2.53080759985429,0.10545031666059541
720,30,21,4.481182302747,True,2.3772896719043506,0.07924298906347835
720,40,21,5.046671549479,True,2.110909795059039,0.05277274487647597
720,60,21,6.351935920261,True,1.677137260195041,0.02795228766991735
720,120,21,10.656558740707,True,0.9996724707712005,0.008330603923093337
840,1,21,14.902065220333,True,1.0,1.0
840,2,21,8.577926715215,True,1.7372572318554123,0.8686286159277061
840,4,21,5.297022705986,True,2.8132907951277315,0.7033226987819329
840,6,21,4.36263196809,True,3.415842851134945,0.5693071418558241
840,12,21,4.258566617966,True,3.499314806410286,0.2916095672008572
840,24,21,5.164464519137,True,2.8855005519184376,0.12022918966326823
840,30,21,5.389112404415,True,2.7652169971672085,0.09217389990557362
840,40,21,5.857363916579,True,2.544159016337262,0.06360397540843155
840,60,21,7.180896021071,True,2.075237571551749,0.03458729285919582
840,120,21,11.261431024188,True,1.3232834431366156,0.011027362026138464
960,1,15,20.543235206604,True,1.0,1.0
960,2,21,11.658066329502,True,1.7621477375383527,0.8810738687691764
960,4,21,6.985856408165,True,2.9406895885511286,0.7351723971377822
960,6,21,5.633552994047,True,3.646585951762968,0.607764325293828
960,12,21,5.1796673366,True,3.9661302303033312,0.3305108525252776
960,24,21,6.142457700911,True,3.3444650670621945,0.13935271112759143
960,30,21,6.48551934106,True,3.1675543817353558,0.10558514605784519
960,40,21,6.974716288703,True,2.9453865012227136,0.07363466253056784
960,60,21,8.096821205957,True,2.5371975845891117,0.04228662640981853
960,120,21,11.885097231184,True,1.7284869283780753,0.01440405773648396
1080,1,12,27.154531300068,True,1.0,1.0
1080,2,20,15.279921615124,True,1.777138128325905,0.8885690641629524
1080,4,21,8.969463620867,True,3.0274420464669,0.756860511616725
1080,6,21,7.037925152552,True,3.858314874266826,0.643052479044471
1080,12,21,6.193784077962,True,4.384158530273292,0.365346544189441
1080,24,21,7.277199938184,True,3.731453241731918,0.15547721840549658
1080,30,21,7.634803022657,True,3.5566773916084493,0.11855591305361497
1080,40,21,8.095880928494,True,3.354116931796242,0.08385292329490604
1080,60,21,9.132947899046,True,2.973249338573855,0.049554155642897585
1080,120,21,12.716017541431,True,2.1354587795741717,0.017795489829784763
1200,1,9,34.519131819407,True,1.0,1.0
1200,2,16,19.175519227982,True,1.8001667338965577,0.9000833669482788
1200,4,21,11.375064395723,True,3.0346317716131894,0.7586579429032974
1200,6,21,8.584282852355,True,4.02120158586539,0.6702002643108983
1200,12,21,7.254570030031,True,4.758260196884404,0.39652168307370034
1200,24,21,8.561472733816,True,4.031915173082752,0.1679964655451147
1200,30,21,8.89190916788,True,3.8820832700472825,0.12940277566824274
1200,40,21,9.256605988457,True,3.729134832189293,0.09322837080473233
1200,60,21,10.351157392774,True,3.334808901998179,0.055580148366636314
1200,120,21,14.08586873327,True,2.450621432945405,0.02042184527454504
1320,1,8,41.83770558238,True,1.0,1.0
1320,2,13,23.256864217611,True,1.7989400974658858,0.8994700487329429
1320,4,21,13.694139310292,True,3.0551540797409853,0.7637885199352463
1320,6,21,10.219448486964,True,4.093929886309273,0.6823216477182122
1320,12,21,8.476051637105,True,4.935989936544287,0.4113324947120239
1320,24,21,9.879964737665,True,4.234600698814619,0.17644169578394245
1320,30,21,10.305749893188,True,4.059646897702642,0.13532156325675473
1320,40,21,10.643433763867,True,3.930846614972443,0.09827116537431108
1320,60,21,11.789563485554,True,3.5487069248700025,0.059145115414500044
1320,120,20,15.324452006817,True,2.7301273522713063,0.022751061268927553
1440,1,7,49.666226863861,True,1.0,1.0
1440,2,11,27.493808572943,True,1.8064513227439196,0.9032256613719598
1440,4,19,16.036370440533,True,3.0970990005522876,0.7742747501380719
1440,6,21,11.929300240108,True,4.163381410828784,0.6938969018047972
1440,12,21,9.776191075643,True,5.080324891317076,0.42336040760975635
1440,24,21,11.40539702915,True,4.354624984726414,0.1814427076969339
1440,30,21,11.867095413662,True,4.185204983410071,0.1395068327803357
1440,40,21,12.037036396208,True,4.126117528356668,0.10315293820891669
1440,60,21,13.202135449364,True,3.7619843436959752,0.06269973906159959
1440,120,19,16.497246001896,True,3.0105768476843315,0.02508814039736943
1560,1,6,58.428860187531,True,1.0,1.0
1560,2,10,32.242244410515,True,1.8121834027309802,0.9060917013654901
1560,4,17,18.724937032251,True,3.120376858245009,0.7800942145612523
1560,6,21,13.819801932289,True,4.227908654104229,0.7046514423507048
1560,12,21,11.197071098146,True,5.218227130593606,0.4348522608828005
1560,24,21,13.025804667246,True,4.485623858190744,0.186900994091281
1560,30,21,13.334798960459,True,4.381682870569486,0.14605609568564953
1560,40,21,13.485621191206,True,4.3326784401769025,0.10831696100442256
1560,60,21,14.781705969856,True,3.9527819256237176,0.06587969876039529
1560,120,17,17.980806967791,True,3.249512677167079,0.02707927230972566
1680,1,5,67.984166240692,True,1.0,1.0
1680,2,8,37.720579594374,True,1.8023096933227345,0.9011548466613672
1680,4,14,21.575197730746,True,3.1510332878113245,0.7877583219528311
1680,6,19,15.957028489364,True,4.26045277076532,0.71007546179422
1680,12,21,12.848199617295,True,5.291337951286056,0.440944829273838
1680,24,21,14.705979029338,True,4.622892913492231,0.1926205380621763
1680,30,21,14.886578934533,True,4.566809240703812,0.15222697469012705
1680,40,20,15.251674866676,True,4.457488560107805,0.11143721400269513
1680,60,19,16.406360550931,True,4.143768877298881,0.06906281462164802
1680,120,16,19.801674842834,True,3.4332533374213394,0.028610444478511163
1800,1,4,77.067865729332,True,1.0,1.0
1800,2,7,43.293335608074,True,1.7801323147519086,0.8900661573759543
1800,4,13,24.637688856858,True,3.1280476905560017,0.7820119226390004
1800,6,17,18.23420363314,True,4.226555065408173,0.7044258442346956
1800,12,20,15.283438408375,True,5.042573776271473,0.42021448135595607
1800,24,18,17.110859208637,True,4.504032485430695,0.18766802022627896
1800,30,18,17.488919085926,True,4.406668322420878,0.14688894408069594
1800,40,17,17.735858945286,True,4.345313410931011,0.10863283527327527
1800,60,16,18.866920918226,True,4.084814160369018,0.0680802360061503
1800,120,14,21.989248582295,True,3.5047976032880195,0.029206646694066828
1920,1,4,88.728448927402,True,1.0,1.0
1920,2,7,48.892073597227,True,1.814781873608944,0.907390936804472
1920,4,11,27.934517275203,True,3.176301492997867,0.7940753732494668
1920,6,15,20.339200417201,True,4.362435450135186,0.727072575022531
1920,12,19,16.382744575802,True,5.415969742851123,0.4513308119042603
1920,24,17,18.44170850866,True,4.811292233891248,0.20047050974546865
1920,30,17,18.636864634121,True,4.760910736291713,0.1586970245430571
1920,40,16,19.182412490249,True,4.625510423806461,0.11563776059516154
1920,60,15,20.099357271194,True,4.414491853158204,0.0735748642193034
1920,120,13,23.813130158644,True,3.726030485546823,0.031050254046223524
2040,1,3,101.010943412781,True,1.0,1.0
2040,2,6,55.626130183538,True,1.8158901775028418,0.9079450887514209
